index,Date,Year,Opponent,H/A,Rank,GB,D/N,Attendance
1,"Tuesday, Apr 4",2017,New York Yankees,,3,0.5,N,19366
2,"Wednesday, Apr 5",2017,New York Yankees,,3,0.5,N,12737
3,"Thursday, Apr 6",2017,Toronto Blue Jays,,3,1.0,N,12678
4,"Friday, Apr 7",2017,Toronto Blue Jays,,2,1.0,N,12842
5,"Saturday, Apr 8",2017,Toronto Blue Jays,,2,1.0,N,21838
6,"Sunday, Apr 9",2017,Toronto Blue Jays,,1,0.0,D,15341
7,"Monday, Apr 10",2017,New York Yankees,@,2,0.5,D,46955
8,"Wednesday, Apr 12",2017,New York Yankees,@,2,1.0,D,38002
9,"Thursday, Apr 13",2017,New York Yankees,@,4,2.0,N,34772
10,"Friday, Apr 14",2017,Boston Red Sox,@,3,2.0,N,36813
11,"Saturday, Apr 15",2017,Boston Red Sox,@,4,2.0,D,36686
12,"Sunday, Apr 16",2017,Boston Red Sox,@,4,3.0,D,36209
13,"Monday, Apr 17",2017,Boston Red Sox,@,4,3.5,D,37318
14,"Tuesday, Apr 18",2017,Detroit Tigers,,4,2.5,N,16265
15,"Wednesday, Apr 19",2017,Detroit Tigers,,4,2.5,N,12281
16,"Thursday, Apr 20",2017,Detroit Tigers,,4,2.5,D,13267
17,"Friday, Apr 21",2017,Houston Astros,,4,3.5,N,17683
18,"Saturday, Apr 22",2017,Houston Astros,,4,3.5,N,17008
19,"Sunday, Apr 23",2017,Houston Astros,,4,3.5,D,15548
20,"Monday, Apr 24",2017,Baltimore Orioles,@,4,4.5,N,11142
21,"Tuesday, Apr 25",2017,Baltimore Orioles,@,4,3.5,N,11472
22,"Wednesday, Apr 26",2017,Baltimore Orioles,@,4,4.5,N,16289
23,"Friday, Apr 28",2017,Toronto Blue Jays,@,4,3.5,N,36256
24,"Saturday, Apr 29",2017,Toronto Blue Jays,@,4,4.5,D,42419
25,"Sunday, Apr 30",2017,Toronto Blue Jays,@,4,4.5,D,42986
27,"Monday, May 1",2017,Miami Marlins,@,4,4.5,N,16096
28,"Tuesday, May 2",2017,Miami Marlins,@,4,3.5,N,16011
29,"Wednesday, May 3",2017,Miami Marlins,,4,4.5,N,12285
30,"Thursday, May 4",2017,Miami Marlins,,4,4.0,N,10118
31,"Friday, May 5",2017,Toronto Blue Jays,,4,5.0,N,12461
32,"Saturday, May 6",2017,Toronto Blue Jays,,4,5.0,D,12035
33,"Sunday, May 7",2017,Toronto Blue Jays,,4,6.0,D,15068
34,"Monday, May 8",2017,Kansas City Royals,,4,7.0,N,12826
35,"Tuesday, May 9",2017,Kansas City Royals,,4,7.5,N,9921
36,"Wednesday, May 10",2017,Kansas City Royals,,4,6.5,N,9320
37,"Thursday, May 11",2017,Kansas City Royals,,4,7.0,D,9340
38,"Friday, May 12",2017,Boston Red Sox,@,4,6.0,N,36496
39,"Saturday, May 13",2017,Boston Red Sox,@,4,6.0,D,35447
40,"Sunday, May 14",2017,Boston Red Sox,@,4,5.5,D,35080
41,"Monday, May 15",2017,Cleveland Guardians,@,4,6.0,N,14613
42,"Tuesday, May 16",2017,Cleveland Guardians,@,4,6.0,N,18238
43,"Wednesday, May 17",2017,Cleveland Guardians,@,4,6.0,D,22104
44,"Friday, May 19",2017,New York Yankees,,4,4.5,N,21146
45,"Saturday, May 20",2017,New York Yankees,,3,4.0,D,22864
46,"Sunday, May 21",2017,New York Yankees,,4,4.5,D,20873
47,"Monday, May 22",2017,Los Angeles Angels,,4,5.5,N,12249
48,"Tuesday, May 23",2017,Los Angeles Angels,,4,5.5,N,9014
49,"Wednesday, May 24",2017,Los Angeles Angels,,4,5.5,N,9975
50,"Thursday, May 25",2017,Los Angeles Angels,,4,5.0,D,9459
51,"Friday, May 26",2017,Minnesota Twins,@,4,4.0,N,20949
52,"Saturday, May 27",2017,Minnesota Twins,@,4,5.0,D,27531
53,"Sunday, May 28",2017,Minnesota Twins,@,4,5.0,D,28951
54,"Monday, May 29",2017,Texas Rangers,@,4,4.0,N,35914
55,"Tuesday, May 30",2017,Texas Rangers,@,4,5.0,N,22942
56,"Wednesday, May 31",2017,Texas Rangers,@,4,4.0,N,24410
58,"Friday, Jun 2",2017,Seattle Mariners,@,4,4.5,N,27933
59,"Saturday, Jun 3",2017,Seattle Mariners,@,4,5.5,N,26995
60,"Sunday, Jun 4",2017,Seattle Mariners,@,4,5.5,D,28579
61,"Tuesday, Jun 6",2017,Chicago White Sox,,4,5.5,N,14590
62,"Wednesday, Jun 7",2017,Chicago White Sox,,4,5.5,N,9313
63,"Thursday, Jun 8",2017,Chicago White Sox,,4,5.5,N,8971
64,"Friday, Jun 9",2017,Oakland Athletics,,4,5.5,N,13153
66,"Saturday, Jun 10 (2)",2017,Oakland Athletics,,4,6.0,N,17775
67,"Sunday, Jun 11",2017,Oakland Athletics,,3,6.0,D,13640
68,"Tuesday, Jun 13",2017,Toronto Blue Jays,@,3,5.5,N,39404
69,"Wednesday, Jun 14",2017,Toronto Blue Jays,@,3,5.5,N,37734
70,"Thursday, Jun 15",2017,Detroit Tigers,@,3,5.5,N,24056
71,"Friday, Jun 16",2017,Detroit Tigers,@,3,5.5,N,29674
72,"Saturday, Jun 17",2017,Detroit Tigers,@,3,4.5,D,33478
73,"Sunday, Jun 18",2017,Detroit Tigers,@,3,3.5,D,36442
74,"Monday, Jun 19",2017,Cincinnati Reds,,3,4.0,N,17117
75,"Tuesday, Jun 20",2017,Cincinnati Reds,,3,3.5,N,13375
76,"Wednesday, Jun 21",2017,Cincinnati Reds,,3,3.0,D,19619
77,"Friday, Jun 23",2017,Baltimore Orioles,,3,2.5,N,18929
78,"Saturday, Jun 24",2017,Baltimore Orioles,,3,2.5,D,23902
79,"Sunday, Jun 25",2017,Baltimore Orioles,,3,2.5,D,15943
80,"Tuesday, Jun 27",2017,Pittsburg Pirates,@,3,3.0,N,20424
81,"Wednesday, Jun 28",2017,Pittsburg Pirates,@,3,3.0,N,21582
82,"Thursday, Jun 29",2017,Pittsburg Pirates,@,3,4.0,N,22595
83,"Friday, Jun 30",2017,Baltimore Orioles,@,3,4.0,N,24398
85,"Saturday, Jul 1",2017,Baltimore Orioles,@,3,4.0,N,28346
86,"Sunday, Jul 2",2017,Baltimore Orioles,@,3,5.0,D,26489
87,"Tuesday, Jul 4",2017,Chicago Cubs,@,3,5.5,D,42046
88,"Wednesday, Jul 5",2017,Chicago Cubs,@,3,5.5,D,39855
89,"Thursday, Jul 6",2017,Boston Red Sox,,3,4.5,N,23375
90,"Friday, Jul 7",2017,Boston Red Sox,,3,5.5,N,24842
91,"Saturday, Jul 8",2017,Boston Red Sox,,3,4.5,D,23419
92,"Sunday, Jul 9",2017,Boston Red Sox,,2,3.5,D,20812
93,"Friday, Jul 14",2017,Los Angeles Angels,@,2,3.5,N,38119
94,"Saturday, Jul 15",2017,Los Angeles Angels,@,2,2.5,N,38515
95,"Sunday, Jul 16",2017,Los Angeles Angels,@,2,3.0,D,36178
96,"Monday, Jul 17",2017,Oakland Athletics,@,2,2.0,N,9736
97,"Tuesday, Jul 18",2017,Oakland Athletics,@,2,2.0,N,15231
98,"Wednesday, Jul 19",2017,Oakland Athletics,@,2,3.0,D,17019
99,"Friday, Jul 21",2017,Texas Rangers,,2,3.5,N,24461
100,"Saturday, Jul 22",2017,Texas Rangers,,2,3.5,N,20568
101,"Sunday, Jul 23",2017,Texas Rangers,,3,3.5,D,16954
102,"Monday, Jul 24",2017,Baltimore Orioles,,3,3.5,N,15187
103,"Tuesday, Jul 25",2017,Baltimore Orioles,,3,2.5,N,12471
104,"Wednesday, Jul 26",2017,Baltimore Orioles,,3,2.5,D,18430
105,"Thursday, Jul 27",2017,New York Yankees,@,3,3.0,N,44033
106,"Friday, Jul 28",2017,New York Yankees,@,3,3.5,N,40470
107,"Saturday, Jul 29",2017,New York Yankees,@,3,4.5,D,43015
108,"Sunday, Jul 30",2017,New York Yankees,@,3,3.5,D,41547
109,"Monday, Jul 31",2017,Houston Astros,@,3,4.5,N,24154
111,"Tuesday, Aug 1",2017,Houston Astros,@,3,4.0,N,22985
112,"Wednesday, Aug 2",2017,Houston Astros,@,3,3.5,N,26722
113,"Thursday, Aug 3",2017,Houston Astros,@,3,3.5,N,23404
114,"Friday, Aug 4",2017,Milwaukee Brewers,,3,4.5,N,21164
115,"Saturday, Aug 5",2017,Milwaukee Brewers,,3,5.5,N,15849
116,"Sunday, Aug 6",2017,Milwaukee Brewers,,3,5.5,D,12129
117,"Tuesday, Aug 8",2017,Boston Red Sox,,3,6.5,N,22328
118,"Wednesday, Aug 9",2017,Boston Red Sox,,3,7.5,N,11853
119,"Thursday, Aug 10",2017,Cleveland Guardians,,3,7.0,N,9533
120,"Friday, Aug 11",2017,Cleveland Guardians,,3,7.0,N,16794
121,"Saturday, Aug 12",2017,Cleveland Guardians,,3,8.0,N,22024
122,"Sunday, Aug 13",2017,Cleveland Guardians,,3,9.0,D,17775
123,"Monday, Aug 14",2017,Toronto Blue Jays,@,4,9.0,N,32151
124,"Tuesday, Aug 15",2017,Toronto Blue Jays,@,3,9.0,N,33718
125,"Wednesday, Aug 16",2017,Toronto Blue Jays,@,3,10.0,N,36784
126,"Thursday, Aug 17",2017,Toronto Blue Jays,@,3,10.5,D,46855
127,"Friday, Aug 18",2017,Seattle Mariners,,4,11.5,N,11501
128,"Saturday, Aug 19",2017,Seattle Mariners,,4,11.5,N,12218
129,"Sunday, Aug 20",2017,Seattle Mariners,,3,11.5,D,13354
130,"Tuesday, Aug 22",2017,Toronto Blue Jays,,3,11.0,N,11948
131,"Wednesday, Aug 23",2017,Toronto Blue Jays,,4,12.0,N,8264
132,"Thursday, Aug 24",2017,Toronto Blue Jays,,3,11.0,D,10133
133,"Friday, Aug 25",2017,St. Louis Cardinals,@,3,10.0,N,40050
134,"Saturday, Aug 26",2017,St. Louis Cardinals,@,4,10.0,N,41295
135,"Sunday, Aug 27",2017,St. Louis Cardinals,@,4,9.0,D,44469
136,"Monday, Aug 28",2017,Kansas City Royals,@,4,9.0,N,21866
137,"Tuesday, Aug 29",2017,Kansas City Royals,@,4,10.0,N,25204
138,"Wednesday, Aug 30",2017,Kansas City Royals,@,4,10.0,N,25916
140,"Friday, Sep 1",2017,Chicago White Sox,@,4,9.5,N,13585
141,"Saturday, Sep 2",2017,Chicago White Sox,@,4,9.5,N,17700
142,"Sunday, Sep 3",2017,Chicago White Sox,@,4,9.5,D,17633
143,"Monday, Sep 4",2017,Minnesota Twins,,4,8.5,N,12108
144,"Tuesday, Sep 5",2017,Minnesota Twins,,4,8.5,N,6509
145,"Wednesday, Sep 6",2017,Minnesota Twins,,4,9.5,D,7185
146,"Friday, Sep 8",2017,Boston Red Sox,@,4,10.5,N,34781
147,"Saturday, Sep 9",2017,Boston Red Sox,@,4,11.5,N,36734
148,"Sunday, Sep 10",2017,Boston Red Sox,@,4,10.5,D,35859
149,"Monday, Sep 11",2017,New York Yankees,,4,11.0,N,15327
150,"Tuesday, Sep 12",2017,New York Yankees,,3,11.0,N,21024
151,"Wednesday, Sep 13",2017,New York Yankees,,4,11.0,D,13159
152,"Friday, Sep 15",2017,Boston Red Sox,,3,12.5,N,16006
153,"Saturday, Sep 16",2017,Boston Red Sox,,3,13.5,N,14942
154,"Sunday, Sep 17",2017,Boston Red Sox,,3,12.5,D,14936
155,"Tuesday, Sep 19",2017,Chicago Cubs,,3,14.0,N,25046
156,"Wednesday, Sep 20",2017,Chicago Cubs,,3,14.0,N,24238
157,"Thursday, Sep 21",2017,Baltimore Orioles,@,3,14.5,N,14967
158,"Friday, Sep 22",2017,Baltimore Orioles,@,3,14.5,N,28835
159,"Saturday, Sep 23",2017,Baltimore Orioles,@,3,14.5,N,42802
160,"Sunday, Sep 24",2017,Baltimore Orioles,@,3,15.5,D,23424
161,"Tuesday, Sep 26",2017,New York Yankees,@,3,15.0,N,30434
162,"Wednesday, Sep 27",2017,New York Yankees,@,3,16.0,N,30549
163,"Thursday, Sep 28",2017,New York Yankees,@,3,15.0,N,32933
164,"Friday, Sep 29",2017,Baltimore Orioles,,3,14.0,N,21142
165,"Saturday, Sep 30",2017,Baltimore Orioles,,3,14.0,N,15416
167,"Sunday, Oct 1",2017,Baltimore Orioles,,3,13.0,D,16018
0,"Thursday, Mar 29",2018,Boston Red Sox,,1,0.0,D,31042
1,"Friday, Mar 30",2018,Boston Red Sox,,3,1.0,N,19203
2,"Saturday, Mar 31",2018,Boston Red Sox,,4,1.0,N,17838
4,"Sunday, Apr 1",2018,Boston Red Sox,,5,2.0,D,14256
5,"Tuesday, Apr 3",2018,New York Yankees,@,4,3.5,D,46776
6,"Wednesday, Apr 4",2018,New York Yankees,@,4,4.0,D,40028
7,"Thursday, Apr 5",2018,Boston Red Sox,@,5,5.0,D,36134
8,"Saturday, Apr 7",2018,Boston Red Sox,@,5,6.0,D,31821
9,"Sunday, Apr 8",2018,Boston Red Sox,@,5,7.0,D,31979
10,"Monday, Apr 9",2018,Chicago White Sox,@,5,6.5,D,10377
11,"Tuesday, Apr 10",2018,Chicago White Sox,@,5,6.5,D,10069
12,"Wednesday, Apr 11",2018,Chicago White Sox,@,5,6.5,D,10431
13,"Friday, Apr 13",2018,Phildelphia Phillies,,5,8.0,N,13372
14,"Saturday, Apr 14",2018,Phildelphia Phillies,,5,9.0,N,20934
15,"Sunday, Apr 15",2018,Phildelphia Phillies,,5,10.0,D,19841
16,"Monday, Apr 16",2018,Texas Rangers,,5,9.5,N,9363
17,"Tuesday, Apr 17",2018,Texas Rangers,,5,10.5,N,8972
18,"Wednesday, Apr 18",2018,Texas Rangers,,4,10.5,D,8657
19,"Friday, Apr 20",2018,Minnesota Twins,,4,11.0,N,9786
20,"Saturday, Apr 21",2018,Minnesota Twins,,4,10.0,N,10106
21,"Sunday, Apr 22",2018,Minnesota Twins,,4,9.0,D,12515
22,"Wednesday, Apr 25",2018,Baltimore Orioles,@,4,8.5,N,8730
23,"Thursday, Apr 26",2018,Baltimore Orioles,@,4,8.5,N,9596
24,"Friday, Apr 27",2018,Boston Red Sox,@,4,7.5,N,32620
25,"Saturday, Apr 28",2018,Boston Red Sox,@,4,6.5,D,35795
26,"Sunday, Apr 29",2018,Boston Red Sox,@,4,7.5,D,32888
27,"Monday, Apr 30",2018,Detroit Tigers,@,4,7.5,N,19398
29,"Tuesday, May 1",2018,Detroit Tigers,@,4,7.5,N,17255
30,"Wednesday, May 2",2018,Detroit Tigers,@,4,8.5,D,20866
31,"Friday, May 4",2018,Toronto Blue Jays,,4,8.0,N,11117
32,"Saturday, May 5",2018,Toronto Blue Jays,,4,8.0,N,16297
33,"Sunday, May 6",2018,Toronto Blue Jays,,4,9.0,D,14032
34,"Tuesday, May 8",2018,Atlanta Braves,,4,9.0,N,15382
35,"Wednesday, May 9",2018,Atlanta Braves,,4,10.0,N,12082
36,"Friday, May 11",2018,Baltimore Orioles,@,4,9.5,N,28170
38,"Saturday, May 12 (2)",2018,Baltimore Orioles,@,4,10.0,N,24534
39,"Sunday, May 13",2018,Baltimore Orioles,@,4,11.0,D,25257
40,"Monday, May 14",2018,Kansas City Royals,@,4,10.5,N,14174
41,"Tuesday, May 15",2018,Kansas City Royals,@,4,9.5,N,21500
42,"Wednesday, May 16",2018,Kansas City Royals,@,4,9.0,D,19611
43,"Thursday, May 17",2018,Los Angeles Angels,@,4,9.0,N,30487
44,"Friday, May 18",2018,Los Angeles Angels,@,3,8.0,N,40067
45,"Saturday, May 19",2018,Los Angeles Angels,@,3,8.0,N,37232
46,"Sunday, May 20",2018,Los Angeles Angels,@,3,9.0,D,38560
47,"Tuesday, May 22",2018,Boston Red Sox,,3,10.0,N,10642
48,"Wednesday, May 23",2018,Boston Red Sox,,3,11.0,N,10194
49,"Thursday, May 24",2018,Boston Red Sox,,3,10.0,N,12468
50,"Friday, May 25",2018,Baltimore Orioles,,3,11.0,N,11354
51,"Saturday, May 26",2018,Baltimore Orioles,,3,11.0,D,14744
52,"Sunday, May 27",2018,Baltimore Orioles,,3,10.0,D,13311
53,"Monday, May 28",2018,Oakland Athletics,@,3,10.0,D,10881
54,"Tuesday, May 29",2018,Oakland Athletics,@,3,10.0,N,7521
55,"Wednesday, May 30",2018,Oakland Athletics,@,3,10.0,N,6705
56,"Thursday, May 31",2018,Oakland Athletics,@,3,10.0,D,12070
58,"Friday, Jun 1",2018,Seattle Mariners,@,3,10.0,N,22636
59,"Saturday, Jun 2",2018,Seattle Mariners,@,3,11.0,N,28599
60,"Sunday, Jun 3",2018,Seattle Mariners,@,3,12.0,D,26567
61,"Tuesday, Jun 5",2018,Washington Nationals,@,3,13.0,N,32165
62,"Wednesday, Jun 6",2018,Washington Nationals,@,3,14.0,D,33106
63,"Thursday, Jun 7",2018,Seattle Mariners,,3,14.0,N,10342
64,"Friday, Jun 8",2018,Seattle Mariners,,3,14.0,N,12435
65,"Saturday, Jun 9",2018,Seattle Mariners,,3,14.0,D,12258
66,"Sunday, Jun 10",2018,Seattle Mariners,,4,14.0,D,10512
67,"Monday, Jun 11",2018,Toronto Blue Jays,,3,14.0,N,10769
68,"Tuesday, Jun 12",2018,Toronto Blue Jays,,3,14.0,N,11162
69,"Wednesday, Jun 13",2018,Toronto Blue Jays,,3,14.0,D,10847
70,"Thursday, Jun 14",2018,New York Yankees,@,3,15.0,N,45066
71,"Friday, Jun 15",2018,New York Yankees,@,3,15.0,N,45112
72,"Saturday, Jun 16",2018,New York Yankees,@,3,15.5,D,46249
73,"Sunday, Jun 17",2018,New York Yankees,@,3,15.0,D,46400
74,"Monday, Jun 18",2018,Houston Astros,@,4,15.5,N,34151
75,"Tuesday, Jun 19",2018,Houston Astros,@,3,15.5,N,37414
76,"Wednesday, Jun 20",2018,Houston Astros,@,4,16.5,N,43409
77,"Friday, Jun 22",2018,New York Yankees,,3,16.0,N,27252
78,"Saturday, Jun 23",2018,New York Yankees,,3,15.0,D,29831
79,"Sunday, Jun 24",2018,New York Yankees,,3,14.0,D,23667
80,"Monday, Jun 25",2018,Washington Nationals,,3,14.0,N,13624
81,"Tuesday, Jun 26",2018,Washington Nationals,,3,14.0,D,14289
82,"Thursday, Jun 28",2018,Houston Astros,,3,15.0,N,12305
83,"Friday, Jun 29",2018,Houston Astros,,3,14.0,N,15797
84,"Saturday, Jun 30",2018,Houston Astros,,3,14.0,D,18378
86,"Sunday, Jul 1",2018,Houston Astros,,3,13.0,D,19334
87,"Monday, Jul 2",2018,Miami Marlins,@,3,14.0,N,6004
88,"Tuesday, Jul 3",2018,Miami Marlins,@,3,14.0,N,6259
89,"Wednesday, Jul 4",2018,Miami Marlins,@,3,15.0,D,7572
90,"Friday, Jul 6",2018,New York Mets,@,3,16.0,N,24236
91,"Saturday, Jul 7",2018,New York Mets,@,3,16.0,D,32986
92,"Sunday, Jul 8",2018,New York Mets,@,3,16.0,D,24653
93,"Monday, Jul 9",2018,Detroit Tigers,,3,16.0,N,14229
94,"Tuesday, Jul 10",2018,Detroit Tigers,,3,16.0,N,13478
95,"Wednesday, Jul 11",2018,Detroit Tigers,,3,16.0,D,13922
96,"Thursday, Jul 12",2018,Minnesota Twins,@,3,17.0,N,25281
97,"Friday, Jul 13",2018,Minnesota Twins,@,3,17.0,N,28756
98,"Saturday, Jul 14",2018,Minnesota Twins,@,3,17.0,D,25094
99,"Sunday, Jul 15",2018,Minnesota Twins,@,3,18.0,D,25561
100,"Friday, Jul 20",2018,Miami Marlins,,3,19.0,N,13248
101,"Saturday, Jul 21",2018,Miami Marlins,,3,19.0,N,13808
102,"Sunday, Jul 22",2018,Miami Marlins,,3,19.0,D,11828
103,"Monday, Jul 23",2018,New York Yankees,,3,19.0,N,14670
104,"Tuesday, Jul 24",2018,New York Yankees,,3,19.0,N,19579
105,"Wednesday, Jul 25",2018,New York Yankees,,3,18.5,D,27372
106,"Thursday, Jul 26",2018,Baltimore Orioles,@,3,17.5,N,19025
107,"Friday, Jul 27",2018,Baltimore Orioles,@,3,18.5,N,15649
108,"Saturday, Jul 28",2018,Baltimore Orioles,@,3,19.5,N,21526
109,"Sunday, Jul 29",2018,Baltimore Orioles,@,3,20.5,D,22454
110,"Tuesday, Jul 31",2018,Los Angeles Angels,,3,20.0,N,15858
112,"Wednesday, Aug 1",2018,Los Angeles Angels,,3,19.5,N,9132
113,"Thursday, Aug 2",2018,Los Angeles Angels,,3,19.5,D,10988
114,"Friday, Aug 3",2018,Chicago White Sox,,3,20.5,N,16144
115,"Saturday, Aug 4",2018,Chicago White Sox,,3,21.5,N,21214
116,"Sunday, Aug 5",2018,Chicago White Sox,,3,22.5,D,14379
117,"Tuesday, Aug 7",2018,Baltimore Orioles,,3,22.5,N,11734
118,"Wednesday, Aug 8",2018,Baltimore Orioles,,3,23.5,N,9474
119,"Thursday, Aug 9",2018,Baltimore Orioles,,3,22.5,N,10254
120,"Friday, Aug 10",2018,Toronto Blue Jays,@,3,22.5,N,23082
121,"Saturday, Aug 11",2018,Toronto Blue Jays,@,3,23.0,D,38797
122,"Sunday, Aug 12",2018,Toronto Blue Jays,@,3,24.0,D,33746
123,"Tuesday, Aug 14",2018,New York Yankees,@,3,25.0,N,40393
124,"Wednesday, Aug 15",2018,New York Yankees,@,3,24.0,N,42716
125,"Thursday, Aug 16",2018,New York Yankees,@,3,23.5,D,41033
126,"Friday, Aug 17",2018,Boston Red Sox,@,3,24.5,N,37012
127,"Saturday, Aug 18",2018,Boston Red Sox,@,3,25.5,N,36654
128,"Sunday, Aug 19",2018,Boston Red Sox,@,3,24.5,D,37242
129,"Monday, Aug 20",2018,Kansas City Royals,,3,23.5,N,10036
130,"Tuesday, Aug 21",2018,Kansas City Royals,,3,22.5,N,9402
131,"Wednesday, Aug 22",2018,Kansas City Royals,,3,22.5,N,8686
132,"Thursday, Aug 23",2018,Kansas City Royals,,3,22.5,N,9088
133,"Friday, Aug 24",2018,Boston Red Sox,,3,21.5,N,19723
134,"Saturday, Aug 25",2018,Boston Red Sox,,3,20.5,N,25695
135,"Sunday, Aug 26",2018,Boston Red Sox,,3,19.5,D,23448
136,"Tuesday, Aug 28",2018,Atlanta Braves,@,3,20.5,N,21216
137,"Wednesday, Aug 29",2018,Atlanta Braves,@,3,20.5,N,20876
138,"Friday, Aug 31",2018,Cleveland Guardians,@,3,21.0,N,25639
140,"Saturday, Sep 1",2018,Cleveland Guardians,@,3,21.0,N,31816
141,"Sunday, Sep 2",2018,Cleveland Guardians,@,3,20.0,D,26535
142,"Monday, Sep 3",2018,Toronto Blue Jays,@,3,20.0,N,18034
143,"Tuesday, Sep 4",2018,Toronto Blue Jays,@,3,20.0,N,17594
144,"Wednesday, Sep 5",2018,Toronto Blue Jays,@,3,21.0,N,17872
145,"Friday, Sep 7",2018,Baltimore Orioles,,3,20.0,N,12436
146,"Saturday, Sep 8",2018,Baltimore Orioles,,3,19.0,N,10275
147,"Sunday, Sep 9",2018,Baltimore Orioles,,3,19.0,D,13632
148,"Monday, Sep 10",2018,Cleveland Guardians,,3,18.5,N,12724
149,"Tuesday, Sep 11",2018,Cleveland Guardians,,3,19.5,N,10599
150,"Wednesday, Sep 12",2018,Cleveland Guardians,,3,19.5,D,10654
151,"Friday, Sep 14",2018,Oakland Athletics,,3,20.0,N,11549
152,"Saturday, Sep 15",2018,Oakland Athletics,,3,20.0,N,15154
153,"Sunday, Sep 16",2018,Oakland Athletics,,3,20.0,D,13197
154,"Monday, Sep 17",2018,Texas Rangers,@,3,19.5,N,21840
155,"Tuesday, Sep 18",2018,Texas Rangers,@,3,18.5,N,23523
156,"Wednesday, Sep 19",2018,Texas Rangers,@,3,17.5,D,25168
157,"Thursday, Sep 20",2018,Toronto Blue Jays,@,3,18.5,N,19478
158,"Friday, Sep 21",2018,Toronto Blue Jays,@,3,18.5,N,21167
159,"Saturday, Sep 22",2018,Toronto Blue Jays,@,3,18.5,D,27648
160,"Sunday, Sep 23",2018,Toronto Blue Jays,@,3,17.5,D,23944
161,"Monday, Sep 24",2018,New York Yankees,,3,18.5,N,13832
162,"Tuesday, Sep 25",2018,New York Yankees,,3,19.0,N,10953
163,"Wednesday, Sep 26",2018,New York Yankees,,3,18.5,N,11325
164,"Thursday, Sep 27",2018,New York Yankees,,3,19.0,D,12349
165,"Friday, Sep 28",2018,Toronto Blue Jays,,3,19.0,N,12061
166,"Saturday, Sep 29",2018,Toronto Blue Jays,,3,18.0,N,13221
167,"Sunday, Sep 30",2018,Toronto Blue Jays,,3,18.0,D,13313
0,"Thursday, Mar 28",2019,Houston Astros,,2,1.0,D,25025
1,"Friday, Mar 29",2019,Houston Astros,,2,0.5,N,13059
2,"Saturday, Mar 30",2019,Houston Astros,,1,0.0,N,16010
3,"Sunday, Mar 31",2019,Houston Astros,,1,-0.5,D,18473
5,"Monday, Apr 1",2019,Colorado Rockies,,1,-0.5,N,10860
6,"Tuesday, Apr 2",2019,Colorado Rockies,,1,-0.5,N,10933
7,"Wednesday, Apr 3",2019,Colorado Rockies,,1,-0.5,D,11093
8,"Friday, Apr 5",2019,San Francisco Giants,@,1,-1.5,D,41067
9,"Saturday, Apr 6",2019,San Francisco Giants,@,1,-1.5,D,31828
10,"Sunday, Apr 7",2019,San Francisco Giants,@,1,-1.5,D,31574
11,"Monday, Apr 8",2019,Chicago White Sox,@,1,-2.5,D,11734
12,"Tuesday, Apr 9",2019,Chicago White Sox,@,1,-3.5,D,10799
13,"Wednesday, Apr 10",2019,Chicago White Sox,@,1,-4.5,D,11107
14,"Friday, Apr 12",2019,Toronto Blue Jays,@,1,-5.5,N,17326
15,"Saturday, Apr 13",2019,Toronto Blue Jays,@,1,-4.5,D,20771
16,"Sunday, Apr 14",2019,Toronto Blue Jays,@,1,-5.5,D,20512
17,"Tuesday, Apr 16",2019,Baltimore Orioles,,1,-5.5,N,9842
18,"Wednesday, Apr 17",2019,Baltimore Orioles,,1,-5.5,N,9028
19,"Thursday, Apr 18",2019,Baltimore Orioles,,1,-5.5,N,9081
20,"Friday, Apr 19",2019,Boston Red Sox,,1,-4.5,N,21343
21,"Saturday, Apr 20",2019,Boston Red Sox,,1,-3.5,N,22940
22,"Sunday, Apr 21",2019,Boston Red Sox,,1,-2.5,D,18740
23,"Monday, Apr 22",2019,Kansas City Royals,,1,-2.5,N,9914
24,"Tuesday, Apr 23",2019,Kansas City Royals,,1,-2.5,N,8298
25,"Wednesday, Apr 24",2019,Kansas City Royals,,1,-1.5,D,9502
26,"Saturday, Apr 27",2019,Boston Red Sox,@,1,-1.5,D,34773
27,"Sunday, Apr 28",2019,Boston Red Sox,@,1,-1.5,D,33823
28,"Monday, Apr 29",2019,Kansas City Royals,@,1,-2.0,N,11744
31,"Wednesday, May 1 (2)",2019,Kansas City Royals,@,1,-2.0,D,11411
32,"Thursday, May 2",2019,Kansas City Royals,@,1,-2.5,D,23343
33,"Friday, May 3",2019,Baltimore Orioles,@,1,-2.5,N,10034
34,"Saturday, May 4",2019,Baltimore Orioles,@,1,-2.5,N,15241
35,"Monday, May 6",2019,Arizona Diamondbacks,,1,-2.0,N,8124
36,"Tuesday, May 7",2019,Arizona Diamondbacks,,1,-2.0,N,8059
37,"Wednesday, May 8",2019,Arizona Diamondbacks,,1,-2.0,D,8663
38,"Friday, May 10",2019,New York Yankees,,1,-0.5,N,20846
39,"Saturday, May 11",2019,New York Yankees,,1,-1.5,N,25025
40,"Sunday, May 12",2019,New York Yankees,,1,-0.5,D,25025
41,"Tuesday, May 14",2019,Miami Marlins,@,1,-1.0,N,6306
42,"Wednesday, May 15",2019,Miami Marlins,@,1,-0.5,N,5947
43,"Friday, May 17",2019,New York Yankees,@,2,0.5,N,41281
44,"Saturday, May 18",2019,New York Yankees,@,1,-0.5,D,43079
45,"Sunday, May 19",2019,New York Yankees,@,2,0.5,D,43032
